id,known,name,products,sameAs/0,url
en:salt,True,Salt,391261,https://www.wikidata.org/wiki/Q11254,https://world.openfoodfacts.org/ingredient/salt
en:sugar,True,Sugar,330195,https://www.wikidata.org/wiki/Q11002,https://world.openfoodfacts.org/ingredient/sugar
en:water,True,Water,276075,https://www.wikidata.org/wiki/Q283,https://world.openfoodfacts.org/ingredient/water
en:flavouring,True,Flavouring,268838,,https://world.openfoodfacts.org/ingredient/flavouring
en:oil-and-fat,True,Oil and fat,266306,,https://world.openfoodfacts.org/ingredient/oil-and-fat
en:vegetable-oil-and-fat,True,Vegetable oil and fat,246884,,https://world.openfoodfacts.org/ingredient/vegetable-oil-and-fat
en:vegetable,True,Vegetable,211012,,https://world.openfoodfacts.org/ingredient/vegetable
en:dairy,True,Dairy,210615,https://www.wikidata.org/wiki/Q185217,https://world.openfoodfacts.org/ingredient/dairy
en:cereal,True,Cereal,205474,,https://world.openfoodfacts.org/ingredient/cereal
en:natural-flavouring,True,Natural flavouring,177563,,https://world.openfoodfacts.org/ingredient/natural-flavouring
en:vegetable-oil,True,Vegetable oil,174126,,https://world.openfoodfacts.org/ingredient/vegetable-oil
en:root-vegetable,True,Root vegetable,169200,https://www.wikidata.org/wiki/Q20136,https://world.openfoodfacts.org/ingredient/root-vegetable
en:flour,True,Flour,164718,https://www.wikidata.org/wiki/Q36465,https://world.openfoodfacts.org/ingredient/flour
en:wheat,True,Wheat,158988,https://www.wikidata.org/wiki/Q15645384,https://world.openfoodfacts.org/ingredient/wheat
en:fruit,True,Fruit,157665,https://www.wikidata.org/wiki/Q1364,https://world.openfoodfacts.org/ingredient/fruit
en:starch,True,Starch,152869,https://www.wikidata.org/wiki/Q41534,https://world.openfoodfacts.org/ingredient/starch
en:spice,True,Spice,146288,,https://world.openfoodfacts.org/ingredient/spice
en:added-sugar,True,Added sugar,137380,,https://world.openfoodfacts.org/ingredient/added-sugar
en:cereal-flour,True,Cereal flour,135580,,https://world.openfoodfacts.org/ingredient/cereal-flour
